theater_code,theater_name,theater_city_state,city,state_abbr,demographics_status,population,median_household_income,median_age,pct_white_alone,pct_black_alone,pct_asian_alone,pct_hispanic_latino,pct_bachelors_degree,pct_below_poverty,matched_place_name,source
BRIE,Cranford Theatre,"Cranford, NJ",Cranford,NJ,matched,1783,82222,43.6,81.32,3.53,3.42,6.06,41.96,3.13,"Cranford CDP, New Jersey",US Census ACS5 2023
REG,Regal Commerce Center,"North Brunswick, NJ",North Brunswick,NJ,no-match,,,,,,,,,,,
REG,Regal Secaucus ShowPlace 14,"Secaucus, NJ",Secaucus,NJ,matched,21437,134746,38.6,40.66,6.34,34.51,19.35,34.34,5.99,"Secaucus town, New Jersey",US Census ACS5 2023
AMC,AMC Headquarters Plaza 10,"Morristown, NJ",Morristown,NJ,matched,20256,115409,34,58.15,9.22,4.7,29.28,33.14,9.23,"Morristown town, New Jersey",US Census ACS5 2023
BRIE,Box Office Cinemas,"Sparta, NJ",Sparta,NJ,no-match,,,,,,,,,,,
AMC,"AMC Empire 25 with IMAX, Dolby, Prime","New York, NY",New York,NY,matched,8516202,79713,38,35.85,22.7,14.62,28.42,23.64,17.36,"New York city, New York",US Census ACS5 2023
CNPL,Cinepolis Mansfield 14,"Hackettstown, NJ",Hackettstown,NJ,matched,10143,91250,38,71.78,4,4.72,25.69,23.23,7.84,"Hackettstown town, New Jersey",US Census ACS5 2023
PFR,Basie Center Cinema,"Red Bank, NJ",Red Bank,NJ,matched,12864,101738,39.7,63.69,7.11,1.38,30.99,28.68,8.89,"Red Bank borough, New Jersey",US Census ACS5 2023
BRIE,Smodcastle Cinemas,"Atlantic Highlands, NJ",Atlantic Highlands,NJ,matched,4409,125438,47.9,89.77,0.68,1.16,5.87,36.39,4.26,"Atlantic Highlands borough, New Jersey",US Census ACS5 2023
REG,Regal Hadley,"South Plainfield, NJ",South Plainfield,NJ,matched,24231,126063,41.7,54.95,10.96,16.01,18.64,24.7,3.55,"South Plainfield borough, New Jersey",US Census ACS5 2023
CFLM,Greenwood Features,"Bethel, CT",Bethel,CT,matched,11606,88344,40.9,61.74,10.08,4.9,13.28,23,5.86,"Bethel CDP, Connecticut",US Census ACS5 2023
AMC,"AMC Aviation 12 with IMAX, Dolby","Linden, NJ",Linden,NJ,matched,43614,91036,39.8,37.93,28.14,3.59,35.59,15.98,8.96,"Linden city, New Jersey",US Census ACS5 2023
AMC,AMC Majestic 6 with Prime,"Stamford, CT",Stamford,CT,matched,135806,107474,38.2,49.07,19.88,7.09,28.1,28.93,9.53,"Stamford city, Connecticut",US Census ACS5 2023
AMC,AMC SoNo 8,"Norwalk, CT",Norwalk,CT,matched,91375,105301,40.2,50.34,18.15,4.7,31.39,25.93,10.12,"Norwalk city, Connecticut",US Census ACS5 2023
AMC,AMC Brick Plaza 10,"Brick Township, NJ",Brick Township,NJ,no-match,,,,,,,,,,,
AMC,AMC Royale 6,"Norwalk, CT",Norwalk,CT,matched,91375,105301,40.2,50.34,18.15,4.7,31.39,25.93,10.12,"Norwalk city, Connecticut",US Census ACS5 2023
AMC,"AMC New Brunswick 18 with IMAX, Dolby","New Brunswick, NJ",New Brunswick,NJ,matched,55744,60248,24.5,37.3,13.11,8.61,51.13,12.79,31.58,"New Brunswick city, New Jersey",US Census ACS5 2023
MARQ,Marquee Orchard 10,"Toms River, NJ",Toms River,NJ,matched,93915,95759,41.6,79.83,5.11,3.87,11.77,23.07,6.28,"Toms River CDP, New Jersey",US Census ACS5 2023
AMC,AMC Landmark 8,"Stamford, CT",Stamford,CT,matched,135806,107474,38.2,49.07,19.88,7.09,28.1,28.93,9.53,"Stamford city, Connecticut",US Census ACS5 2023
CNMK,Cinemark Watchung and XD,"Watchung, NJ",Watchung,NJ,matched,6429,166536,46.4,78.78,1.34,11.46,8.88,37.32,2.1,"Watchung borough, New Jersey",US Census ACS5 2023
AMC,"AMC Rockaway 16 with IMAX, Dolby","Rockaway, NJ",Rockaway,NJ,matched,6589,100028,45.2,73.85,0.74,7.8,19.87,28.38,6.25,"Rockaway borough, New Jersey",US Census ACS5 2023
AMC,"AMC Danbury 16 with IMAX, Dolby","Danbury, CT",Danbury,CT,matched,86086,83422,40.5,47.6,12.88,4.83,31.12,19.71,11.13,"Danbury city, Connecticut",US Census ACS5 2023
BTIE,New Canaan Playhouse,"New Canaan, CT",New Canaan,CT,matched,7032,163355,44.6,84.81,1.64,7.57,2.97,39.58,4.19,"New Canaan CDP, Connecticut",US Census ACS5 2023
AMC,AMC Marquis 16 with Dolby,"Trumbull, CT",Trumbull,CT,matched,10137,124547,41.7,70.24,3.73,9.48,8.79,34.18,7.33,"Trumbull Center CDP, Connecticut",US Census ACS5 2023
NTC,Prospector Theater,"Ridgefield, CT",Ridgefield,CT,matched,7103,143286,45.7,90.5,3.84,2.27,5.53,43.36,2.56,"Ridgefield CDP, Connecticut",US Census ACS5 2023
JAC,Plaza & Media Arts Center,"Patchogue, NY",Patchogue,NY,matched,12368,104423,37.9,69.91,4.92,4.94,23.16,18.31,8.11,"Patchogue village, New York",US Census ACS5 2023
REG,Regal Nanuet,"Nanuet, NY",Nanuet,NY,matched,20089,113582,43.8,51.24,18,12.46,19.79,25.33,7.48,"Nanuet CDP, New York",US Census ACS5 2023
21CC,Four Brothers DI|#,"Amenia, NY",Amenia,NY,matched,928,82781,41.1,62.5,0,0,34.38,23.11,7.11,"Amenia CDP, New York",US Census ACS5 2023
JAC,Rutgers Cinema,"Piscataway, NJ",Piscataway,NJ,no-match,,,,,,,,,,,
BRIE,Speciality Theatre,"Hamilton, BM",Hamilton,BM,no-match,,,,,,,,,,,
MTMI,Museum of the Moving Image,"Astoria, NY",Astoria,NY,matched,8516202,79713,38,35.85,22.7,14.62,28.42,23.64,17.36,"New York city, New York",US Census ACS5 2023
NAM,Showcase Cinema de Lux Ridge Hill,"Yonkers, NY",Yonkers,NY,matched,209529,81816,39,38.03,17.28,5.15,44.41,19.57,14.67,"Yonkers city, New York",US Census ACS5 2023
INDRP,Roxy Cinema Tribeca,"New York, NY",New York,NY,matched,8516202,79713,38,35.85,22.7,14.62,28.42,23.64,17.36,"New York city, New York",US Census ACS5 2023
CLRK,Hurleyville Arts Centre,"Hurleyville, NY",Hurleyville,NY,matched,1249,-666666666,44.5,76.14,3.92,0.72,17.21,9.66,18,"Hurleyville CDP, New York",US Census ACS5 2023
IRAM,Chatham Hickory Cinema,"Chatham, NJ",Chatham,NJ,matched,9219,250001,37.4,82.35,0.47,10.55,5.4,42.14,2.51,"Chatham borough, New Jersey",US Census ACS5 2023
INDRP,DCTV's Firehouse Cinema,"New York, NY",New York,NY,matched,8516202,79713,38,35.85,22.7,14.62,28.42,23.64,17.36,"New York city, New York",US Census ACS5 2023
